id,user_id,description,amount,transaction_type,transaction_date,category_id,currency,notes,is_active,created_at,updated_at
550e8400-e29b-41d4-a716-446655440030,550e8400-e29b-41d4-a716-446655440000,Starbucks Coffee,4.50,debit,2024-01-15,550e8400-e29b-41d4-a716-446655440001,USD,Morning coffee,true,2024-01-15T08:30:00Z,2024-01-15T08:30:00Z
550e8400-e29b-41d4-a716-446655440031,550e8400-e29b-41d4-a716-446655440000,Salary,3500.00,credit,2024-01-01,550e8400-e29b-41d4-a716-446655440007,USD,Monthly salary,true,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
550e8400-e29b-41d4-a716-446655440032,550e8400-e29b-41d4-a716-446655440000,Uber Ride,12.75,debit,2024-01-14,550e8400-e29b-41d4-a716-446655440002,USD,Ride to work,true,2024-01-14T09:15:00Z,2024-01-14T09:15:00Z
550e8400-e29b-41d4-a716-446655440033,550e8400-e29b-41d4-a716-446655440000,Grocery Store,85.20,debit,2024-01-13,550e8400-e29b-41d4-a716-446655440009,USD,Weekly groceries,true,2024-01-13T18:45:00Z,2024-01-13T18:45:00Z
550e8400-e29b-41d4-a716-446655440034,550e8400-e29b-41d4-a716-446655440000,Netflix Subscription,15.99,debit,2024-01-12,550e8400-e29b-41d4-a716-446655440004,USD,Monthly subscription,true,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z
550e8400-e29b-41d4-a716-446655440035,550e8400-e29b-41d4-a716-446655440000,Electric Bill,120.50,debit,2024-01-10,550e8400-e29b-41d4-a716-446655440005,USD,Monthly electric bill,true,2024-01-10T00:00:00Z,2024-01-10T00:00:00Z
550e8400-e29b-41d4-a716-446655440036,550e8400-e29b-41d4-a716-446655440000,Amazon Purchase,45.99,debit,2024-01-09,550e8400-e29b-41d4-a716-446655440003,USD,Office supplies,true,2024-01-09T14:20:00Z,2024-01-09T14:20:00Z
550e8400-e29b-41d4-a716-446655440037,550e8400-e29b-41d4-a716-446655440000,Doctor Visit,150.00,debit,2024-01-08,550e8400-e29b-41d4-a716-446655440006,USD,Routine checkup,true,2024-01-08T10:00:00Z,2024-01-08T10:00:00Z
550e8400-e29b-41d4-a716-446655440038,550e8400-e29b-41d4-a716-446655440000,Freelance Project,800.00,credit,2024-01-05,550e8400-e29b-41d4-a716-446655440007,USD,Web development project,true,2024-01-05T00:00:00Z,2024-01-05T00:00:00Z
550e8400-e29b-41d4-a716-446655440039,550e8400-e29b-41d4-a716-446655440000,Gas Station,35.60,debit,2024-01-04,550e8400-e29b-41d4-a716-446655440002,USD,Fill up tank,true,2024-01-04T16:30:00Z,2024-01-04T16:30:00Z
